"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"AN7407","227407","846024"
"AN7434","227434","846033"
"AN7443","227443","846037"
"AN7451","227451","846035"
"AN7493","227493","846030"
"AN7493","227494","846029"
"AN7493","227495","846028"
"AN7496","227496","846025"
"AN7497","227497","846027"
"AN7497","227498","846026"
"AN7499","227499","846021"
"AN7580","227580","846ZZ2"
"AN7618","227618","846023"
"AN7618","227619","897868"
"AN7702","227702","846018"
"AN7722","227722","846015"
"AN7748","227748","846017"
"AN7763","227763","846016"
"AN7773","227773","846013"
"AN7789","227789","846012"
"AN7848","227848","846008"
"AN7849","227849","846ZZ7"
"AN7849","228143","846ZZ6"
"AN7886","227886","846007"
"AN7886","227887","846006"
"AN7903","227903","846000"
"AN7903","227904","846001"
"AN7908","227908","846003"
"AN7908","227909","738853"
"AN7910","227910","846ZZX"
"AN7912","227912","846002"
"AN7913","227913","846ZZW"
"AN7918","227918","846ZZZ"
"AN7944","227944","846ZZT"
"AN7945","227945","846ZZS"
"AN7947","227947","846ZZV"
"AN7973","227973","846ZZR"
"AN7973","227974","870ZWV"
"AN7973","227975","870ZWX"
"AN7973","227976","870ZWW"
"AN7988","227988","846ZZN"
"AN7988","227989","870ZWM"
"AN7990","227990","846ZZU"
"AN7991","227991","846ZZL"
"AN8012","228012","846ZZP"
"AN8015","228015","846ZZO"
"AN8017","228017","846ZZM"
"AN8035","228035","846ZZ9"
"AN8035","228036","846ZZ8"
"AN8035","228037","870ZVN"
"AN8035","228340","846ZYS"
"AN8038","228038","846ZZG"
"AN8038C","228039","846ZZF"
"AN8049","228049","846ZZH"
"AN8060","228060","846ZZA"
"AN8086","228086","846ZZ5"
"AN8106","228106","846ZZC"
"AN8106","228107","870ZVU"
"AN8115","228115","846ZZB"
"AN8196","228196","846ZZ3"
"AN8199","228199","846ZYY"
"AN8205","228205","846ZYW"
"AN8242","228242","846ZZ0"
"AN8274","228274","846ZYV"
"AN8303","228303","846ZYT"
"AN8317","228317","846ZYO"
"AN8317","228406","846ZYM"
"AN8317","228407","742683"
"AN8317","228408","870ZUR"
"AN8317","228409","846ZYL"
"AN8317","228410","870ZUQ"
"AN8317","228411","846ZYK"
"AN8317","228412","742682"
"AN8317","228413","742681"
"AN8317","228414","768805"
"AN8317","228415","846ZYJ"
"AN8317","228416","742680"
"AN8317","228417","870ZUP"
"AN8317","228418","846ZYI"
"AN8317","228419","761763"
"AN8317","228420","768804"
"AN8317","228421","884626"
"AN8317","228422","738740"
"AN8383","228383","846ZYN"
"AN8497","228497","846ZYF"
"AN8513","228513","846ZYE"
"AN8543","228543","846ZY7"
"AN8543","228543","846ZZZ"
"AN8595","228595","846ZXV"
"AN8600","228600","846ZY5"
"AN8606","228606","846ZXJ"
"AN8608","228608","846ZXI"
"AN8616","228616","846ZY4"
"AN8638","228638","846ZXX"
"AN8641","228641","846ZY3"
"AN8653","228653","846ZXY"
"AN8654","228654","846ZXM"
"AN8655","228655","846ZY0"
"AN8655","228666","846ZXZ"
"AN8659","228659","846ZXQ"
"AN8659","228706","846ZXP"
"AN8660","228660","846ZXO"
"AN8660","228708","846ZXN"
"AN8668","228668","846ZY2"
"AN8692","228692","846ZXT"
"AN8692","228693","870ZT6"
"AN8692","228694","870ZT5"
"AN8699","228699","846ZXU"
"AN8700","228700","846ZXS"
"AN8701","228701","846ZXR"
"AN8715","228715","846ZXG"
"AN8715","228716","870ZSZ"
"AN8718","228718","846ZXK"
"AN8718","228719","870ZT4"
"AN8718","228720","870ZT3"
"AN8718","228721","870ZT2"
"AN8718","228832","846ZX7"
"AN8722","228722","846ZXL"
"AN8739","228739","846ZXH"
"AN8742","228742","846ZXD"
"AN8777","228777","846ZXC"
"AN8777","228778","870ZSL"
"AN8830","228830","846ZX8"
"AO6703","226703","832991"
"AO7707","227707","832990"
"AO8471","228471","832989"
"AP5741","225741","870222"
"AP5741C","225742","870219"
"AP5758","225758","870217"
"AP5758C","225759","870209"
"AP6378","226378","870107"
"AP6391","226391","870075"
"AP6476","226476","870068"
"AP6476C","226635","870067"
"AP6499","226499","870088"
"AP6499C","226516","870087"
"AP6546","226546","870085"
"AP6546","226547","870084"
"AP6546","226548","761820"
"AP6546","228072","884652"
"AP6546C","226549","870077"
"AP6546C","226550","870076"
"AP6546C","226551","761819"
"AP6546C","228073","884651"
"AP6559","226559","870083"
"AP6559C","226560","870082"
"AP6559C","228217","870ZUX"
"AP6620","226620","870071"
"AP6620C","226639","870064"
"AP6721","226721","870058"
